cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,has_fit_drug1,has_fit_drug2,source
DU-145,act_hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594,,dactinomycin,bendamustine,dna_intercalator,alkylator,241279087.64641,236995641.6310051,0.9822469238540796,0.0152544884185632,4.4,0.9847455115814367,0.2496594023746025,,0.0131959823762529,1.8278750536755968,0.4145677544898557,0.3824044808039822,,0.0330715424688765,1.857962062129466,2.1303494143418473,0.8770957937860866,0.9776206157096904,5.25,0.1843879427084984,0.0359946996815853,173.58490566037736,0.2063067648157014,0.125355044614462,0.607614804712994,400.0,15.711282702554875,10.469384467787252,0.6663608991062698,400.0,0.0120046168383829,0.0155047266102974,0.0035001097719145,0.1122697375962396,1.0,2,True,The solver successfully reached the end of the integration interval.,7.701,True,True,
DU-145,act_hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,14.588,True,True,
DU-145,act_hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383,,dactinomycin,triethylenemelamine,dna_intercalator,alkylator,241279087.64641,241431995.49965337,1.000633738525518,0.0257674621632902,4.4,0.9742325378367096,0.2117494088728871,16.6,0.0051415177933095,1.6002010541972806,0.4816998454235753,0.317223493049691,,0.0358996369610274,1.5501011239496274,2.374115043894491,0.899098788122489,0.9620881252739916,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,0.2063067648157014,0.1208491975612951,0.5857742845672194,400.0,9.924387754952315,6.604429522020032,0.6654747562361609,400.0,-0.1453449485581426,0.0089861636936124,0.1543311122517551,0.1336018975086634,1.0,2,True,The solver successfully reached the end of the integration interval.,32.815,True,True,
DU-145,act_hamming+zero,3,9706.0,754230.0,4.999999873689376e-06,5.999999941330714e-10,-29.780000686645508,63.55999565124512,,triethylenemelamine,romidepsin,alkylator,hdac_inhibitor,241279087.64641,241329843.47954425,1.0002103615096911,0.0231714816291037,4.4,0.9768285183708962,0.2197111973004732,16.6,0.0053253105280649,1.646318896899342,0.4730411487965208,0.3251010793087477,,0.0356082919082408,1.5827137856152227,2.344599855418636,0.8947056944432286,0.965949478346564,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,9.924387754952315,6.604558893897524,0.6654877919901727,400.0,1.3377221176372094,0.8728227915320863,0.6524694329445154,400.0,-0.1555374834717122,0.0096700014314469,0.1652074849031591,0.1338146722439837,1.0,2,True,The solver successfully reached the end of the integration interval.,6.551,True,True,
DU-145,act_hamming+zero,4,698037.0,761432.0,9.99999993922529e-09,5.000000058430487e-08,-50.59199905395508,42.74799728393555,,pemetrexed,NSC761432,antimetabolite,other,241279087.64641,122007823.22750326,0.5056709407253042,0.0003739887994254,5.4,0.9996260112005746,0.4971656714805608,,0.301548662913741,3.4378010432844053,0.0895514677976268,1.0479272914320827,,0.0083435032049029,2.0900651396046195,2.6322172060959264,0.6816375978446079,0.9996196692232772,5.25,0.0,0.0,400.0,0.0211442762556468,0.0140203067558916,0.6630781108976161,400.0,83.52103020200553,55.10096920128883,0.6597256890632286,400.0,0.8633112104392549,0.4223353797822681,-0.4409758306569867,0.0,1.0,2,True,The solver successfully reached the end of the integration interval.,18.621,True,True,
DU-145,act_hamming+zero,5,755.0,719344.0,1.9999999949504854e-06,1.0000000116860974e-07,1.5199999809265137,94.85999631881714,,mercaptopurine,anastrozole,antimetabolite,hormonal,241279087.64641,233734666.43205315,0.9687315577659468,0.0078162559856947,5.2,0.9921837440143052,0.3373869114888551,,0.0192132120543658,2.1178001900077743,0.3272868477047277,0.4850714468277417,,0.0281846068834915,1.3952618629015692,2.741277245820443,0.7624258167123272,0.9921693443611656,5.25,0.178342803429609,0.0425249427297684,176.1006289308176,15.037136014741236,10.004824923616576,0.6653411203974364,400.0,343.40017306137884,228.87938545765329,0.6665092315394486,400.0,-0.4521658779015431,0.0436894671436204,0.4958553450451636,0.1188621639859926,1.0,2,True,The solver successfully reached the end of the integration interval.,28.841,True,True,
DU-145,act_hamming+zero,6,26980.0,719627.0,4.999999987376214e-07,4.999999987376214e-07,0.1700000017881393,93.50999633967876,,mitomycin,letrozole,alkylator,hormonal,241279087.64641,244491403.05711395,1.013313691799977,0.2858652019363867,4.6000000000000005,0.7141347980636132,0.0661722249290501,10.6,-0.0003272510744696,0.5550093163108937,0.7466300602608393,0.1268945288182353,,0.0413881804191695,0.3617135590888338,5.377940777598306,0.5142991400483421,0.6955589934397595,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0793591229716221,0.0515648940994861,0.6497664309864555,400.0,0.0295608805496613,0.0189617032915507,0.6414458209286336,400.0,-0.0840884195453071,0.0011693973920975,0.0852578169374046,0.1435719096130204,1.0,2,True,The solver successfully reached the end of the integration interval.,2.845,True,True,
DU-145,act_hamming+zero,7,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,14.588,True,True,
DU-145,act_hamming+zero,8,9706.0,49842.0,4.999999873689376e-06,2.999999970665357e-10,-2.7200000286102295,90.6199963092804,,triethylenemelamine,vinblastine,alkylator,antimitotic,241279087.64641,241431662.6737665,1.0006323591026671,0.0257677930634101,4.4,0.97423220693659,0.2117483594060796,16.6,0.0051421164900375,1.6001954771182318,0.4816978368966305,0.3172253039159301,,0.0358995217565453,1.5500968438320284,2.3741219057554317,0.8991002576038989,0.9620876299496742,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,9.924387754952315,6.604429694188865,0.6654747735842168,400.0,0.0100880050215588,0.0060401249899795,0.5987432576680232,400.0,-0.1453305463386629,0.0089858971312607,0.1543164434699236,0.1336006108876005,1.0,2,True,The solver successfully reached the end of the integration interval.,5.321,True,True,
DU-145,act_hamming+zero,9,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,14.588,True,True,
