method,log_kill_auc,DpR,nadir,hypoxic,core_sparing,kg,pg
ours+zero,0.45311883605118136,0.9090513459356926,0.09094865406430731,0.14708104266178457,-0.045833884696113,0.029028838986046232,-79.18951394217355
random,0.2263296992841836,0.6578263528663902,0.34217364713360965,0.18337916142403646,0.01862341893869546,0.030216045631074464,-23.370671251841955
act_hamming+zero,0.1654947301220495,0.6727114059292149,0.3272885940707851,0.19701966104253696,0.06696292605510575,0.03589343343024701,-28.4227851989546
hamming+zero,0.1654947301220495,0.6727114059292149,0.3272885940707851,0.19701966104253696,0.06696292605510575,0.03589343343024701,-28.4227851989546
tanimoto+zero,0.13990912202582073,0.5488761553991331,0.4511238446008668,0.19692749132637116,0.05457318561561708,0.030997877117960204,-20.513378428614566
