readout,discordance_rate,ci_lo,ci_hi,n_pairs,n_discordant,n_celllines
kg_biexp,0.48758700340348116,0.45322243467872614,0.523184431596953,97841,47706,60
ttg_biexp,0.6324500603160973,0.6030871974817554,0.6626207618843546,97818,61865,60
depth_of_response,0.3440499677989839,0.31448800011722294,0.3723571667027582,97823,33656,60
ets_early,0.3476661113439151,0.3177272810514253,0.37701745705145995,97841,34016,60
log_kill_nadir,0.3440499677989839,0.31448800011722294,0.3723571667027582,97823,33656,60
log_kill_auc,0.34884148771987206,0.31884329506187936,0.3780135352757249,97841,34131,60
nadir_burden,0.3440499677989839,0.31448800011722294,0.3723571667027582,97823,33656,60
residual_core_burden,0.4396166863929899,0.40457055322706675,0.4746850817079479,96318,42343,60
hypoxic_fraction,0.32395678092399405,0.2830159371782613,0.36487643306803247,59048,19129,60
