cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,has_fit_drug1,has_fit_drug2
DU-145,act_hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594,,dactinomycin,bendamustine,dna_intercalator,alkylator,241279087.64641,236995641.6310051,0.9822469238540796,0.0152544884185632,4.4,0.9847455115814367,0.2496594023746025,,0.0131959823762529,1.8278750536755968,0.4145677544898557,0.3824044808039822,,0.0330715424688765,1.857962062129466,2.1303494143418473,0.8770957937860866,0.9776206157096904,5.25,0.1843879427084984,0.0359946996815853,173.58490566037736,0.2063067648157014,0.125355044614462,0.607614804712994,400.0,15.711282702554875,10.469384467787252,0.6663608991062698,400.0,0.0120046168383829,0.0155047266102974,0.0035001097719145,0.1122697375962396,1.0,2,True,The solver successfully reached the end of the integration interval.,7.701,True,True
DU-145,act_hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594,,dactinomycin,bendamustine,dna_intercalator,alkylator,241279087.64641,236995641.6310051,0.9822469238540796,0.0152544884185632,4.4,0.9847455115814367,0.2496594023746025,,0.0131959823762529,1.8278750536755968,0.4145677544898557,0.3824044808039822,,0.0330715424688765,1.857962062129466,2.1303494143418473,0.8770957937860866,0.9776206157096904,5.25,0.1843879427084984,0.0359946996815853,173.58490566037736,0.2063067648157014,0.125355044614462,0.607614804712994,400.0,15.711282702554875,10.469384467787252,0.6663608991062698,400.0,0.0120046168383829,0.0155047266102974,0.0035001097719145,0.1122697375962396,1.0,2,True,The solver successfully reached the end of the integration interval.,2.927,True,True
DU-145,act_hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594,,dactinomycin,bendamustine,dna_intercalator,alkylator,241279087.64641002,236995641.63100514,0.9822469238540797,0.015254488418563219,4.4,0.9847455115814367,0.24965940237460257,,0.01319598237625297,1.8278750536755966,0.4145677544898557,0.38240448080398226,,0.0330715424688765,1.8579620621294661,2.1303494143418473,0.8770957937860866,0.9776206157096903,5.25,0.18438794270849848,0.035994699681585335,173.58490566037736,0.20630676481570148,0.12535504461446204,0.607614804712994,400.0,15.711282702554875,10.469384467787252,0.6663608991062698,400.0,0.012004616838382942,0.015504726610297448,0.003500109771914506,0.11226973759623962,1.0,2,True,The solver successfully reached the end of the integration interval.,4.604,True,True
DU-145,act_hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,14.588,True,True
DU-145,act_hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,5.547,True,True
DU-145,act_hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485,,NSC740,triethylenemelamine,other,alkylator,241279087.64641002,237085589.93438035,0.982619721613938,0.010796283116231339,4.4,0.9892037168837686,0.2796872217289024,,0.013031183393799382,1.9779984364505052,0.38953478256945934,0.40945375698104175,,0.03203470532520857,1.9017117085947675,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.18438794270849848,0.040267344418825166,173.58490566037736,1.4550478895615448,0.9465821603096499,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.12318509606794414,0.019795990369677385,0.14298108643762153,0.11626612269587956,1.0,2,True,The solver successfully reached the end of the integration interval.,8.442,True,True
DU-145,act_hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383,,dactinomycin,triethylenemelamine,dna_intercalator,alkylator,241279087.64641,241431995.49965337,1.000633738525518,0.0257674621632902,4.4,0.9742325378367096,0.2117494088728871,16.6,0.0051415177933095,1.6002010541972806,0.4816998454235753,0.317223493049691,,0.0358996369610274,1.5501011239496274,2.374115043894491,0.899098788122489,0.9620881252739916,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,0.2063067648157014,0.1208491975612951,0.5857742845672194,400.0,9.924387754952315,6.604429522020032,0.6654747562361609,400.0,-0.1453449485581426,0.0089861636936124,0.1543311122517551,0.1336018975086634,1.0,2,True,The solver successfully reached the end of the integration interval.,32.815,True,True
DU-145,act_hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383,,dactinomycin,triethylenemelamine,dna_intercalator,alkylator,241279087.64641,241431995.49965337,1.000633738525518,0.0257674621632902,4.4,0.9742325378367096,0.2117494088728871,16.6,0.0051415177933095,1.6002010541972806,0.4816998454235753,0.317223493049691,,0.0358996369610274,1.5501011239496274,2.374115043894491,0.899098788122489,0.9620881252739916,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,0.2063067648157014,0.1208491975612951,0.5857742845672194,400.0,9.924387754952315,6.604429522020032,0.6654747562361609,400.0,-0.1453449485581426,0.0089861636936124,0.1543311122517551,0.1336018975086634,1.0,2,True,The solver successfully reached the end of the integration interval.,12.471,True,True
DU-145,act_hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383,,dactinomycin,triethylenemelamine,dna_intercalator,alkylator,241279087.64641002,241431995.49965337,1.000633738525518,0.025767462163290296,4.4,0.9742325378367097,0.21174940887288718,16.6,0.00514151779330953,1.6002010541972806,0.4816998454235753,0.317223493049691,,0.03589963696102747,1.5501011239496274,2.374115043894491,0.899098788122489,0.9620881252739917,5.25,0.19688496211899295,0.052398670218621324,168.55345911949686,0.20630676481570148,0.12084919756129513,0.5857742845672194,400.0,9.924387754952315,6.604429522020032,0.6654747562361609,400.0,-0.14534494855814262,0.008986163693612492,0.1543311122517551,0.13360189750866344,1.0,2,True,The solver successfully reached the end of the integration interval.,18.393,True,True
DU-145,act_hamming+zero,3,9706.0,754230.0,4.999999873689376e-06,5.999999941330714e-10,-29.780000686645508,63.55999565124512,,triethylenemelamine,romidepsin,alkylator,hdac_inhibitor,241279087.64641,241329843.47954425,1.0002103615096911,0.0231714816291037,4.4,0.9768285183708962,0.2197111973004732,16.6,0.0053253105280649,1.646318896899342,0.4730411487965208,0.3251010793087477,,0.0356082919082408,1.5827137856152227,2.344599855418636,0.8947056944432286,0.965949478346564,5.25,0.1968849621189929,0.0523986702186213,168.55345911949686,9.924387754952315,6.604558893897524,0.6654877919901727,400.0,1.3377221176372094,0.8728227915320863,0.6524694329445154,400.0,-0.1555374834717122,0.0096700014314469,0.1652074849031591,0.1338146722439837,1.0,2,True,The solver successfully reached the end of the integration interval.,6.551,True,True
