baseline,median_diff,mean_diff,p_raw,n,p_holm
tanimoto+zero,0.2989729361296213,0.3132097140253606,3.73854073275591e-10,70,1.495416293102364e-09
hamming+zero,0.2296880721196733,0.28762410592913185,5.010689793302182e-10,70,1.5032069379906547e-09
act_hamming+zero,0.2296880721196733,0.28762410592913185,5.010689793302182e-10,70,1.5032069379906547e-09
random,0.1584927143374112,0.22678913676699775,4.279449777785703e-06,70,4.279449777785703e-06
