"cell_line","method","seed","nsc1","nsc2","conc1_M","conc2_M","percent_growth","regret","drug1_name","drug2_name","drug1_moa","drug2_moa","burden_initial","burden_final","burden_ratio_final","nadir_burden","time_to_nadir","depth_of_response","kg_regrowth","time_to_regrowth","log_kill","log_kill_nadir","burden_auc_ratio","log_kill_auc","growth_delay","kg_biexp","ks_biexp","ttg_biexp","biexp_r2","ets_early","t_early","hypoxic_fraction","necrotic_fraction","viable_rim_thickness","auc_surface_drug1","auc_core_drug1","core_to_surface_ratio_drug1","penetration_depth_drug1","auc_surface_drug2","auc_core_drug2","core_to_surface_ratio_drug2","penetration_depth_drug2","kill_fraction_core","kill_fraction_rim","core_sparing","residual_core_burden","solver_success","n_drugs_simulated","sim_ok","sim_message","wall_s","has_fit_drug1","has_fit_drug2"
"786-0","no_treatment","-1","-1","-1","0.0","0.0","","","","","","","241279087.64641","244307242.44601148","1.012550423781605","1.0","0.0","0.0","-0.0005289501584925","0.0","0.0","0.0","1.0","0.0","","0.001098475822591","6.230461558811701e-22","0.0","-4.4497688561597695","-0.0250950517930392","5.25","0.2033398275045627","0.0578624312878497","166.03773584905662","","","","","","","","","0.0","0.0","0.0","0.1416738683806418","1.0","0","True","The solver successfully reached the end of the integration interval.","0.099","",""
"786-0","act_hamming+zero","0","740","49842","1.0000000116860974e-07","2.999999970665357e-10","-28.079999923706055","","NSC740","vinblastine","other","antimitotic","241279087.64641002","244432507.71545798","1.0130695954622857","0.33060098206625876","4.6000000000000005","0.6693990179337412","0.05389016223324409","10.399999999999999","-0.0002226216159745501","0.4918664693558748","0.7772914167683816","0.10941612795990567","","0.040549255688247986","0.22797355442288356","6.430411655356985","0.37411465707609126","0.6394890218316014","5.25","0.20333982750456273","0.060731260348103","166.03773584905662","50.49665496032358","33.043929513657226","0.6543785828907008","400.0","0.00934063776147184","0.004015786990393422","0.42992642397050196","400.0","-0.07444759429372994","0.0009090815515032658","0.0753566758452332","0.14314805898777522","1.0","2","True","The solver successfully reached the end of the integration interval.","0.982","True","True"
"786-0","act_hamming+zero","3","92859","241240","6.000000212225132e-06","1.9999999949504854e-06","-29.440000534057617","","dromostanolone","carboplatin","hormonal","platinum","241279087.64641002","226555451.45278874","0.9389767412615614","0.005196140508757473","5.2","0.9948038594912425","0.364729959100382","","0.032761824969670755","2.2951180779693283","0.2836980646986678","0.5471436268180221","","0.025459690942590558","1.5500919218969422","2.6079583969219584","0.7226756257289519","0.9947919734039787","5.25","0.16100295577458196","0.02665831790641154","183.64779874213838","19.958716610083833","13.264515621915352","0.6645976232366394","400.0","0.015311150422437947","0.010104003517702808","0.6599114526950078","400.0","-0.3573420347741616","0.061302852054450074","0.4186448868286117","0.09544580156475786","1.0","2","True","The solver successfully reached the end of the integration interval.","4.234","True","True"
"786-0","act_hamming+zero","5","119875","719627","1.9999999494757503e-05","4.999999987376214e-07","-54.970001220703125","","cisplatin","letrozole","platinum","hormonal","241279087.64641002","244660173.15714243","1.0140131726446484","0.14104020695273162","4.4","0.8589597930472683","0.09208375965200248","11.200000000000001","-0.0006269370189711525","0.8619297646559925","0.6901484051270377","0.1610575112951528","","0.0413483628945481","0.7546084441844754","3.648647945035961","0.6958627244166831","0.7973710598139775","5.25","0.20333982750456273","0.060731260348103","166.03773584905662","3.8120958458804584","2.513081890974447","0.6592389049425945","400.0","0.028876607715256","0.01863558187811437","0.6453521847813474","400.0","-0.10266625679254893","0.0015832897129551826","0.10424954650550411","0.14449181514638607","1.0","2","True","The solver successfully reached the end of the integration interval.","4.053","True","True"
"786-0","no_treatment","-1","-1","-1","0.0","0.0","","","","","","","241279087.64641002","244307242.44601148","1.012550423781605","1.0","0.0","0.0","-0.0005289501584925454","0.0","0.0","0.0","1.0","0.0","","0.0010984758225910832","6.230461558811701e-22","0.0","-4.4497688561597695","-0.02509505179303928","5.25","0.20333982750456273","0.05786243128784976","166.03773584905662","","","","","","","","","0.0","0.0","0.0","0.14167386838064183","1.0","0","True","The solver successfully reached the end of the integration interval.","0.095","",""
"786-0","act_hamming+zero","0","740","49842","1.0000000116860974e-07","2.999999970665357e-10","-28.079999923706055","","NSC740","vinblastine","other","antimitotic","241279087.64641002","244432507.71545798","1.0130695954622857","0.33060098206625876","4.6000000000000005","0.6693990179337412","0.05389016223324409","10.399999999999999","-0.0002226216159745501","0.4918664693558748","0.7772914167683816","0.10941612795990567","","0.040549255688247986","0.22797355442288356","6.430411655356985","0.37411465707609126","0.6394890218316014","5.25","0.20333982750456273","0.060731260348103","166.03773584905662","50.49665496032358","33.043929513657226","0.6543785828907008","400.0","0.00934063776147184","0.004015786990393422","0.42992642397050196","400.0","-0.07444759429372994","0.0009090815515032658","0.0753566758452332","0.14314805898777522","1.0","2","True","The solver successfully reached the end of the integration interval.","0.956","True","True"
"786-0","act_hamming+zero","3","92859","241240","6.000000212225132e-06","1.9999999949504854e-06","-29.440000534057617","","dromostanolone","carboplatin","hormonal","platinum","241279087.64641002","226555451.45278874","0.9389767412615614","0.005196140508757473","5.2","0.9948038594912425","0.364729959100382","","0.032761824969670755","2.2951180779693283","0.2836980646986678","0.5471436268180221","","0.025459690942590558","1.5500919218969422","2.6079583969219584","0.7226756257289519","0.9947919734039787","5.25","0.16100295577458196","0.02665831790641154","183.64779874213838","19.958716610083833","13.264515621915352","0.6645976232366394","400.0","0.015311150422437947","0.010104003517702808","0.6599114526950078","400.0","-0.3573420347741616","0.061302852054450074","0.4186448868286117","0.09544580156475786","1.0","2","True","The solver successfully reached the end of the integration interval.","4.245","True","True"
"786-0","act_hamming+zero","5","119875","719627","1.9999999494757503e-05","4.999999987376214e-07","-54.970001220703125","","cisplatin","letrozole","platinum","hormonal","241279087.64641002","244660173.15714243","1.0140131726446484","0.14104020695273162","4.4","0.8589597930472683","0.09208375965200248","11.200000000000001","-0.0006269370189711525","0.8619297646559925","0.6901484051270377","0.1610575112951528","","0.0413483628945481","0.7546084441844754","3.648647945035961","0.6958627244166831","0.7973710598139775","5.25","0.20333982750456273","0.060731260348103","166.03773584905662","3.8120958458804584","2.513081890974447","0.6592389049425945","400.0","0.028876607715256","0.01863558187811437","0.6453521847813474","400.0","-0.10266625679254893","0.0015832897129551826","0.10424954650550411","0.14449181514638607","1.0","2","True","The solver successfully reached the end of the integration interval.","3.969","True","True"
